t1,t2,t3,eig
FFFT,TTFF,TFFT,0.7224
FFFT,TTFF,TFTF,0.8396
FFFT,TTFF,TFTT,0.7265
FFFT,TTFF,TTFF,0.7224
FFFT,TTFF,TTFT,0.7265
FFFT,TTFF,TTTF,0.7265
FFFT,TTFF,TTTT,0.9616
FFFT,TTFT,FFFF,0.9669
FFFT,TTFT,FFFT,0.7131
FFFT,TTFT,FFTF,0.7131
FFFT,TTFT,FFTT,0.7265
FFFT,TTFT,FTFF,0.7131
FFFT,TTFT,FTFT,0.8716
FFFT,TTFT,FTTF,0.7265
FFFT,TTFT,FTTT,0.7822
FFFT,TTFT,TFFF,0.7822
FFFT,TTFT,TFFT,0.7265
FFFT,TTFT,TFTF,0.8716
FFFT,TTFT,TFTT,0.7131
FFFT,TTFT,TTFF,0.7265
FFFT,TTFT,TTFT,0.7131
FFFT,TTFT,TTTF,0.7131
FFFT,TTFT,TTTT,0.9669
FFFT,TTTF,FFFF,0.9669
FFFT,TTTF,FFFT,0.7131
FFFT,TTTF,FFTF,0.7131
FFFT,TTTF,FFTT,0.7265
FFFT,TTTF,FTFF,0.7131
FFFT,TTTF,FTFT,0.8716
FFFT,TTTF,FTTF,0.7265
FFFT,TTTF,FTTT,0.7822
FFFT,TTTF,TFFF,0.7822
FFFT,TTTF,TFFT,0.7265
FFFT,TTTF,TFTF,0.8716
FFFT,TTTF,TFTT,0.7131
FFFT,TTTF,TTFF,0.7265
FFFT,TTTF,TTFT,0.7131
FFFT,TTTF,TTTF,0.7131
FFFT,TTTF,TTTT,0.9669
FFFT,TTTT,FFFF,1.0049
FFFT,TTTT,FFFT,0.9669
FFFT,TTTT,FFTF,0.9669
FFFT,TTTT,FFTT,0.9616
FFFT,TTTT,FTFF,0.9669
FFFT,TTTT,FTFT,0.9815
FFFT,TTTT,FTTF,0.9616
FFFT,TTTT,FTTT,0.9627
FFFT,TTTT,TFFF,0.9627
FFFT,TTTT,TFFT,0.9616
FFFT,TTTT,TFTF,0.9815
FFFT,TTTT,TFTT,0.9669
FFFT,TTTT,TTFF,0.9616
FFFT,TTTT,TTFT,0.9669
FFFT,TTTT,TTTF,0.9669
FFFT,TTTT,TTTT,1.0049
FFTF,FFFF,FFFF,1.0049
FFTF,FFFF,FFFT,0.9669
FFTF,FFFF,FFTF,0.9669
FFTF,FFFF,FFTT,0.9616
FFTF,FFFF,FTFF,0.9669
FFTF,FFFF,FTFT,0.9815
FFTF,FFFF,FTTF,0.9616
FFTF,FFFF,FTTT,0.9627
FFTF,FFFF,TFFF,0.9627
FFTF,FFFF,TFFT,0.9616
FFTF,FFFF,TFTF,0.9815
FFTF,FFFF,TFTT,0.9669
FFTF,FFFF,TTFF,0.9616
FFTF,FFFF,TTFT,0.9669
FFTF,FFFF,TTTF,0.9669
FFTF,FFFF,TTTT,1.0049
FFTF,FFFT,FFFF,0.9669
FFTF,FFFT,FFFT,0.7131
FFTF,FFFT,FFTF,0.7131
FFTF,FFFT,FFTT,0.7265
FFTF,FFFT,FTFF,0.7131
FFTF,FFFT,FTFT,0.8716
FFTF,FFFT,FTTF,0.7265
FFTF,FFFT,FTTT,0.7822
FFTF,FFFT,TFFF,0.7822
FFTF,FFFT,TFFT,0.7265
FFTF,FFFT,TFTF,0.8716
FFTF,FFFT,TFTT,0.7131
FFTF,FFFT,TTFF,0.7265
FFTF,FFFT,TTFT,0.7131
FFTF,FFFT,TTTF,0.7131
FFTF,FFFT,TTTT,0.9669
FFTF,FFTF,FFFF,0.9669
FFTF,FFTF,FFFT,0.7131
FFTF,FFTF,FFTF,0.7131
FFTF,FFTF,FFTT,0.7265
FFTF,FFTF,FTFF,0.7131
FFTF,FFTF,FTFT,0.8716
FFTF,FFTF,FTTF,0.7265
FFTF,FFTF,FTTT,0.7822
FFTF,FFTF,TFFF,0.7822
FFTF,FFTF,TFFT,0.7265
FFTF,FFTF,TFTF,0.8716
FFTF,FFTF,TFTT,0.7131
FFTF,FFTF,TTFF,0.7265
FFTF,FFTF,TTFT,0.7131
FFTF,FFTF,TTTF,0.7131
FFTF,FFTF,TTTT,0.9669
FFTF,FFTT,FFFF,0.9616
FFTF,FFTT,FFFT,0.7265
FFTF,FFTT,FFTF,0.7265
FFTF,FFTT,FFTT,0.7224
FFTF,FFTT,FTFF,0.7265
FFTF,FFTT,FTFT,0.8396
FFTF,FFTT,FTTF,0.7224
FFTF,FFTT,FTTT,0.7710
FFTF,FFTT,TFFF,0.7710
FFTF,FFTT,TFFT,0.7224
FFTF,FFTT,TFTF,0.8396
FFTF,FFTT,TFTT,0.7265
FFTF,FFTT,TTFF,0.7224
FFTF,FFTT,TTFT,0.7265
FFTF,FFTT,TTTF,0.7265
FFTF,FFTT,TTTT,0.9616
FFTF,FTFF,FFFF,0.9669
FFTF,FTFF,FFFT,0.7131
FFTF,FTFF,FFTF,0.7131
FFTF,FTFF,FFTT,0.7265
FFTF,FTFF,FTFF,0.7131
FFTF,FTFF,FTFT,0.8716
FFTF,FTFF,FTTF,0.7265
FFTF,FTFF,FTTT,0.7822
FFTF,FTFF,TFFF,0.7822
FFTF,FTFF,TFFT,0.7265
FFTF,FTFF,TFTF,0.8716
FFTF,FTFF,TFTT,0.7131
FFTF,FTFF,TTFF,0.7265
FFTF,FTFF,TTFT,0.7131
FFTF,FTFF,TTTF,0.7131
FFTF,FTFF,TTTT,0.9669
FFTF,FTFT,FFFF,0.9815
FFTF,FTFT,FFFT,0.8716
FFTF,FTFT,FFTF,0.8716
FFTF,FTFT,FFTT,0.8396
FFTF,FTFT,FTFF,0.8716
FFTF,FTFT,FTFT,0.8561
FFTF,FTFT,FTTF,0.8396
FFTF,FTFT,FTTT,0.8708
FFTF,FTFT,TFFF,0.8708
FFTF,FTFT,TFFT,0.8396
