loaded webppl-oed [v0.0.1-84e993f]
loaded underscore [v1.8.3-84e993f]
loaded webppl [v0.8.1-84e993f]
skip	pTrue	mNo	mName	aWeights	aPriors	trial	pMax	mMax	x	EIG	y	ll
1	0.4617446569815772	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	8	0.4617446569815772	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are on. What proportion are bright? in [0, 1]	0.20269758961533135	0.9	-10.096643823309961
1	0.5522289099610675	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	9	0.5522289099610675	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are on. What proportion are hot? in [0, 1]	0.20648114256351738	0.9	-10.096643823309961
1	0.6529556675055658	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	10	0.6529556675055658	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are bright. What proportion are hot? in [0, 1]	0.10460860607145965	0.8	-10.096643823309961
1	0.695850327077713	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	11	0.695850327077713	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are hot. What proportion are bright? in [0, 1]	0.09408673959816535	0.6000000000000001	-10.096643823309961
1	0.699530609106995	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	12	0.699530609106995	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright. What proportion are on? in [0, 1]	0.09300326875485852	0.1	-10.096643823309961
1	0.7543989269601977	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	13	0.7543989269601977	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are bright. What proportion are on? in [0, 1]	0.07189995408842062	0.8	-10.096643823309961
1	0.7494811338393298	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	14	0.7494811338393298	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not hot and not on. What proportion are bright? in [0, 1]	0.07407053444011245	0.2	-10.096643823309961
1	0.7455800255377046	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	15	0.7455800255377046	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are bright and hot. What proportion are on? in [0, 1]	0.07523784229742578	0.8	-10.096643823309961
1	0.791175179047368	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	16	0.791175179047368	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs. How many are bright? in [0, 1]	0.057892041779043724	0.5	-10.096643823309961
1	0.7796524710605501	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	17	0.7796524710605501	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not on. What proportion are bright? in [0, 1]	0.056580586018750295	0.2	-10.096643823309961
1	0.7769951770745608	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	18	0.7769951770745608	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not hot. What proportion are bright? in [0, 1]	0.0541610613356552	0.30000000000000004	-10.096643823309961
1	0.7757173581454784	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	19	0.7757173581454784	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright and hot. What proportion are on? in [0, 1]	0.059469935784464086	0.1	-10.096643823309961
1	0.8641773288255049	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	20	0.8641773288255049	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs. How many are hot? in [0, 1]	0.037857533103239034	0.6000000000000001	-10.096643823309961
1	0.87633369256105	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	21	0.87633369256105	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not hot. What proportion are on? in [0, 1]	0.034167182582214566	0.2	-10.096643823309961
1	0.8775202176896076	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	22	0.8775202176896076	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright and not hot. What proportion are on? in [0, 1]	0.030036661757515078	0.000001	-10.096643823309961
1	0.9355129521682989	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	23	0.9355129521682989	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright. What proportion are hot? in [0, 1]	0.00782092124217164	0.5	-10.096643823309961
1	0.941322524187628	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	24	0.941322524187628	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are hot. What proportion are on? in [0, 1]	0.007011869224468827	0.5	-10.096643823309961
